model,variable,coef,exp_coef,se,z,p,ci_lower,ci_upper
Spatial,occipital_en_ratio,-23.515271610769112,6.129814032212808e-11,10.945912970037638,-2.148315236484861,0.031688721303725215,-44.968866809952736,-2.0616764115854878
Spatial,occipital_nc_ratio,-2.0174296465363057,0.13299687509851346,11.787522600322342,-0.17114958884415093,0.8641061448004783,-25.120549410120024,21.08569011704741
Combined,age,0.010692937488249317,1.0107503112600111,0.006011453476765842,1.7787607488899857,0.07527899482035683,-0.001089294820949823,0.022475169797448458
Combined,sex,0.060534634296591505,1.062404392561969,0.13441930551436007,0.4503418170846342,0.6524639909847971,-0.2029223633384405,0.3239916319316235
Combined,mgmt,-0.08270166158842054,0.9206257642818538,0.16216515200347076,-0.5099841770360781,0.6100625471512803,-0.4005395190626866,0.23513619588584553
Combined,idh,-0.3511957253688676,0.7038459798590937,0.22466932200032821,-1.563167246164363,0.11801326196613378,-0.7915395049205434,0.08914805418280808
Combined,eor,-0.2218441672217867,0.8010401829261585,0.11297941530177774,-1.9635804153280652,0.04957877043685688,-0.4432797522076646,-0.00040858223590886644
Combined,global_nc_en_ratio,-0.0005267015118359558,0.9994734371710561,0.0030816123809420193,-0.1709175089940897,0.864288629056604,-0.006566550792795039,0.0055131477691231275
Combined,global_ed_en_ratio,2.149847587623876e-05,1.0000214987069702,0.00011901763969822349,0.1806326854636797,0.8566558985862658,-0.00021177181145724388,0.0002547687632097214
Combined,global_ed_total_ratio,0.13328496419861105,1.1425755450686617,0.4987772776075105,0.26722340848793324,0.789297153914772,-0.844300536219046,1.1108704646162681
Combined,tumor_burden_index,62.321997797102235,1.1643934250868643e+27,67.45145761177969,0.9239533140380698,0.35551062331744243,-69.88042982671604,194.5244254209205
Combined,frontal_ed_ratio,-26.31354658528248,3.733979409012862e-12,29.30902731491952,-0.8977966516100583,0.3692939701243546,-83.75818454442542,31.131091373860457
Combined,frontal_en_ratio,-23.65283912371534,5.341982822994327e-11,29.329271521046383,-0.8064584593157148,0.4199785510581562,-81.13715499776254,33.83147675033186
Combined,frontal_nc_ratio,-25.526397708146366,8.204012860371164e-12,30.808600704634806,-0.8285477796564193,0.4073603477569211,-85.91014550330591,34.85735008701319
Combined,temporal_ed_ratio,-17.390523354317487,2.8015067281231894e-08,18.42255629121624,-0.9439799276178182,0.3451799056307103,-53.49807018826311,18.717023479628132
Combined,temporal_en_ratio,-15.1278911220675,2.691784963844618e-07,19.13902449088884,-0.7904212217957688,0.4292818125468131,-52.63968982343967,22.383907579304672
Combined,temporal_nc_ratio,-19.01209316251128,5.535448952506158e-09,19.123853595250196,-0.9941559669351018,0.3201469416044703,-56.49415745481849,18.469971129795933
Combined,parietal_ed_ratio,-12.218036564840842,4.940536819067956e-06,12.86171383120896,-0.9499540049782298,0.34213562403122544,-37.426532453471076,12.990459323789393
Combined,parietal_en_ratio,-8.334141555268385,0.00024017528302240767,14.54123720616761,-0.5731384088647897,0.5665509828839572,-36.83444277001074,20.166159659473966
Combined,parietal_nc_ratio,-14.272655786689864,6.330883907659052e-07,14.720515801356456,-0.9695757933546512,0.3322579836828259,-43.124336591201285,14.57902501782156
Combined,occipital_ed_ratio,-6.241617593234348,0.001946703999372127,8.957974526526616,-0.696766615572693,0.48594886183893604,-23.79892503965376,11.315689853185063
Combined,occipital_en_ratio,-11.388474671391304,1.132526291523566e-05,11.661037600964656,-0.9766261855162182,0.32875425054583934,-34.243688391649385,11.466739048866778
Combined,occipital_nc_ratio,-1.8903845634662433,0.1510137233074151,12.815347853565113,-0.14750942269119566,0.8827299428557602,-27.00800480580655,23.227235678874067
