repeat,fold,roc_auc,accuracy,precision,recall,f1_score,feature_set,model
3,3,0.7219008264462811,0.6565656565656566,0.6190476190476191,0.5909090909090909,0.6046511627906976,Clinical + Molecular,XGBoost
4,4,0.8355179704016913,0.8061224489795918,0.8,0.7441860465116279,0.7710843373493976,Clinical + Molecular,XGBoost
5,5,0.6625792811839323,0.6326530612244898,0.64,0.37209302325581395,0.47058823529411764,Clinical + Molecular,XGBoost
6,1,0.7371262458471761,0.6868686868686869,0.6875,0.5116279069767442,0.5866666666666667,Clinical + Molecular,XGBoost
7,2,0.7555785123966943,0.6161616161616161,0.625,0.3409090909090909,0.4411764705882353,Clinical + Molecular,XGBoost
8,3,0.6989669421487603,0.6161616161616161,0.5681818181818182,0.5681818181818182,0.5681818181818182,Clinical + Molecular,XGBoost
9,4,0.7640591966173361,0.7346938775510204,0.7741935483870968,0.5581395348837209,0.6486486486486487,Clinical + Molecular,XGBoost
10,5,0.7864693446088794,0.6938775510204082,0.6857142857142857,0.5581395348837209,0.6153846153846154,Clinical + Molecular,XGBoost
11,1,0.7088870431893688,0.696969696969697,0.696969696969697,0.5348837209302325,0.6052631578947368,Clinical + Molecular,XGBoost
12,2,0.787603305785124,0.7272727272727273,0.7297297297297297,0.6136363636363636,0.6666666666666666,Clinical + Molecular,XGBoost
13,3,0.7574380165289256,0.6868686868686869,0.696969696969697,0.5227272727272727,0.5974025974025974,Clinical + Molecular,XGBoost
14,4,0.7596194503171247,0.7244897959183674,0.6818181818181818,0.6976744186046512,0.6896551724137931,Clinical + Molecular,XGBoost
15,5,0.6473572938689217,0.5816326530612245,0.5277777777777778,0.4418604651162791,0.4810126582278481,Clinical + Molecular,XGBoost
16,1,0.8025332225913622,0.7171717171717171,0.7777777777777778,0.4883720930232558,0.6,Clinical + Molecular,XGBoost
17,2,0.7547520661157026,0.7070707070707071,0.7419354838709677,0.5227272727272727,0.6133333333333333,Clinical + Molecular,XGBoost
18,3,0.7041322314049587,0.6363636363636364,0.6176470588235294,0.4772727272727273,0.5384615384615384,Clinical + Molecular,XGBoost
19,4,0.694291754756871,0.673469387755102,0.6341463414634146,0.6046511627906976,0.6190476190476191,Clinical + Molecular,XGBoost
20,5,0.7126849894291756,0.673469387755102,0.6410256410256411,0.5813953488372093,0.6097560975609756,Clinical + Molecular,XGBoost
21,1,0.7458471760797342,0.6767676767676768,0.627906976744186,0.627906976744186,0.627906976744186,Clinical + Molecular,XGBoost
22,2,0.7561983471074379,0.7272727272727273,0.7073170731707317,0.6590909090909091,0.6823529411764706,Clinical + Molecular,XGBoost
23,3,0.678099173553719,0.6464646464646465,0.6216216216216216,0.5227272727272727,0.5679012345679012,Clinical + Molecular,XGBoost
24,4,0.6995771670190275,0.6836734693877551,0.7142857142857143,0.46511627906976744,0.5633802816901409,Clinical + Molecular,XGBoost
25,5,0.6665961945031712,0.6530612244897959,0.6285714285714286,0.5116279069767442,0.5641025641025641,Clinical + Molecular,XGBoost
1,1,0.7416943521594684,0.5757575757575758,0.5066666666666667,0.8837209302325582,0.6440677966101694,Clinical + Molecular,SVM (RBF)
2,2,0.746694214876033,0.5656565656565656,0.5064935064935064,0.8863636363636364,0.6446280991735537,Clinical + Molecular,SVM (RBF)
3,3,0.7551652892561983,0.6060606060606061,0.5342465753424658,0.8863636363636364,0.6666666666666666,Clinical + Molecular,SVM (RBF)
4,4,0.804862579281184,0.5306122448979592,0.48148148148148145,0.9069767441860465,0.6290322580645161,Clinical + Molecular,SVM (RBF)
5,5,0.6706131078224101,0.5510204081632653,0.49295774647887325,0.813953488372093,0.6140350877192983,Clinical + Molecular,SVM (RBF)
6,1,0.7387873754152824,0.5555555555555556,0.49382716049382713,0.9302325581395349,0.6451612903225806,Clinical + Molecular,SVM (RBF)
7,2,0.6917355371900826,0.5151515151515151,0.47368421052631576,0.8181818181818182,0.6,Clinical + Molecular,SVM (RBF)
8,3,0.7179752066115702,0.5555555555555556,0.5,0.8181818181818182,0.6206896551724138,Clinical + Molecular,SVM (RBF)
9,4,0.784355179704017,0.6326530612244898,0.5555555555555556,0.813953488372093,0.660377358490566,Clinical + Molecular,SVM (RBF)
10,5,0.7615221987315011,0.5612244897959183,0.5,0.9302325581395349,0.6504065040650406,Clinical + Molecular,SVM (RBF)
11,1,0.7394102990033222,0.5454545454545454,0.4857142857142857,0.7906976744186046,0.6017699115044248,Clinical + Molecular,SVM (RBF)
12,2,0.7516528925619834,0.5858585858585859,0.5194805194805194,0.9090909090909091,0.6611570247933884,Clinical + Molecular,SVM (RBF)
13,3,0.7299586776859504,0.5454545454545454,0.4935064935064935,0.8636363636363636,0.628099173553719,Clinical + Molecular,SVM (RBF)
14,4,0.7828752642706129,0.5510204081632653,0.4936708860759494,0.9069767441860465,0.639344262295082,Clinical + Molecular,SVM (RBF)
15,5,0.7101479915433404,0.5612244897959183,0.5,0.8372093023255814,0.6260869565217392,Clinical + Molecular,SVM (RBF)
16,1,0.8216362126245846,0.6464646464646465,0.5606060606060606,0.8604651162790697,0.6788990825688074,Clinical + Molecular,SVM (RBF)
17,2,0.7710743801652894,0.5555555555555556,0.5,0.8409090909090909,0.6271186440677966,Clinical + Molecular,SVM (RBF)
18,3,0.6896694214876034,0.5252525252525253,0.4819277108433735,0.9090909090909091,0.6299212598425197,Clinical + Molecular,SVM (RBF)
19,4,0.6830866807610994,0.5204081632653061,0.47368421052631576,0.8372093023255814,0.6050420168067226,Clinical + Molecular,SVM (RBF)
20,5,0.7340380549682876,0.5816326530612245,0.5131578947368421,0.9069767441860465,0.6554621848739496,Clinical + Molecular,SVM (RBF)
21,1,0.7911129568106312,0.6161616161616161,0.5342465753424658,0.9069767441860465,0.6724137931034483,Clinical + Molecular,SVM (RBF)
22,2,0.7615702479338843,0.5555555555555556,0.5,0.8636363636363636,0.6333333333333333,Clinical + Molecular,SVM (RBF)
23,3,0.7002066115702479,0.48484848484848486,0.4567901234567901,0.8409090909090909,0.592,Clinical + Molecular,SVM (RBF)
24,4,0.7594080338266385,0.6224489795918368,0.5428571428571428,0.8837209302325582,0.672566371681416,Clinical + Molecular,SVM (RBF)
25,5,0.6942917547568709,0.5204081632653061,0.47297297297297297,0.813953488372093,0.5982905982905983,Clinical + Molecular,SVM (RBF)
1,1,0.7130398671096345,0.6464646464646465,0.58,0.6744186046511628,0.6236559139784946,Combined,Logistic Regression
2,2,0.6847107438016529,0.6363636363636364,0.5769230769230769,0.6818181818181818,0.625,Combined,Logistic Regression
3,3,0.7723140495867769,0.696969696969697,0.6458333333333334,0.7045454545454546,0.6739130434782609,Combined,Logistic Regression
4,4,0.7758985200845666,0.6938775510204082,0.6140350877192983,0.813953488372093,0.7,Combined,Logistic Regression
5,5,0.5852008456659619,0.5612244897959183,0.5,0.4418604651162791,0.4691358024691358,Combined,Logistic Regression
6,1,0.7130398671096345,0.6363636363636364,0.5714285714285714,0.6511627906976745,0.6086956521739131,Combined,Logistic Regression
7,2,0.6942148760330579,0.6363636363636364,0.5769230769230769,0.6818181818181818,0.625,Combined,Logistic Regression
8,3,0.6855371900826447,0.6262626262626263,0.5660377358490566,0.6818181818181818,0.6185567010309279,Combined,Logistic Regression
9,4,0.7509513742071882,0.7040816326530612,0.6590909090909091,0.6744186046511628,0.6666666666666666,Combined,Logistic Regression
10,5,0.695983086680761,0.6326530612244898,0.5813953488372093,0.5813953488372093,0.5813953488372093,Combined,Logistic Regression
11,1,0.7138704318936877,0.6565656565656566,0.6,0.627906976744186,0.6136363636363636,Combined,Logistic Regression
12,2,0.7152892561983472,0.6363636363636364,0.5740740740740741,0.7045454545454546,0.6326530612244898,Combined,Logistic Regression
13,3,0.7599173553719009,0.6868686868686869,0.6444444444444445,0.6590909090909091,0.651685393258427,Combined,Logistic Regression
14,4,0.6997885835095137,0.6632653061224489,0.5925925925925926,0.7441860465116279,0.6597938144329897,Combined,Logistic Regression
15,5,0.6651162790697674,0.5510204081632653,0.49019607843137253,0.5813953488372093,0.5319148936170213,Combined,Logistic Regression
16,1,0.7994186046511629,0.696969696969697,0.6585365853658537,0.627906976744186,0.6428571428571429,Combined,Logistic Regression
17,2,0.7347107438016528,0.696969696969697,0.6590909090909091,0.6590909090909091,0.6590909090909091,Combined,Logistic Regression
18,3,0.6512396694214876,0.5858585858585859,0.5294117647058824,0.6136363636363636,0.5684210526315789,Combined,Logistic Regression
19,4,0.6507399577167019,0.6326530612244898,0.5660377358490566,0.6976744186046512,0.625,Combined,Logistic Regression
20,5,0.7530655391120507,0.6836734693877551,0.6153846153846154,0.7441860465116279,0.6736842105263158,Combined,Logistic Regression
21,1,0.6814784053156145,0.6363636363636364,0.5660377358490566,0.6976744186046512,0.625,Combined,Logistic Regression
22,2,0.7454545454545455,0.6868686868686869,0.6181818181818182,0.7727272727272727,0.6868686868686869,Combined,Logistic Regression
23,3,0.6599173553719008,0.6868686868686869,0.6444444444444445,0.6590909090909091,0.651685393258427,Combined,Logistic Regression
