feature_name,xgb_importance,mean_abs_shap,modality,lobe,subregion
T2_parietal_en_ratio,0.015086324885487556,0.025841200724244118,T2,parietal,en
T1GD_frontal_ed_ratio,0.013746041804552078,0.023538898676633835,T1GD,frontal,ed
FLAIR_frontal_en_ratio,0.09126312285661697,0.019969068467617035,FLAIR,frontal,en
T1_parietal_nc_ratio,0.012545090168714523,0.01956111751496792,T1,parietal,nc
FLAIR_temporal_ed_ratio,0.018268881365656853,0.017511218786239624,FLAIR,temporal,ed
FLAIR_tumor_burden_index,0.016936220228672028,0.012486841529607773,FLAIR,global,tumor_burden
FLAIR_frontal_ed_ratio,0.010078067891299725,0.011566169559955597,FLAIR,frontal,ed
T1GD_temporal_nc_ratio,0.01567542552947998,0.010766513645648956,T1GD,temporal,nc
T1GD_frontal_nc_ratio,0.013024616986513138,0.010679160244762897,T1GD,frontal,nc
T2_parietal_nc_ratio,0.01608221046626568,0.010323429480195045,T2,parietal,nc
T1GD_global_ed_total_ratio,0.03207964450120926,0.010294478386640549,T1GD,global,ed_total
FLAIR_occipital_en_ratio,0.020098505541682243,0.01018783263862133,FLAIR,occipital,en
T1GD_global_nc_en_ratio,0.012885459698736668,0.009623086079955101,T1GD,global,nc_en
T1GD_tumor_burden_index,0.01743115484714508,0.00910612940788269,T1GD,global,tumor_burden
FLAIR_parietal_ed_ratio,0.015591942705214024,0.007145971059799194,FLAIR,parietal,ed
T1GD_global_ed_en_ratio,0.026091935113072395,0.0063283988274633884,T1GD,global,ed_en
FLAIR_temporal_nc_ratio,0.01483974326401949,0.004871977958828211,FLAIR,temporal,nc
FLAIR_temporal_en_ratio,0.008937661536037922,0.004290375858545303,FLAIR,temporal,en
FLAIR_occipital_ed_ratio,0.008883647620677948,0.00331406039185822,FLAIR,occipital,ed
FLAIR_global_nc_en_ratio,0.00846438854932785,0.002786831697449088,FLAIR,global,nc_en
FLAIR_parietal_nc_ratio,0.013040590099990368,0.002634085714817047,FLAIR,parietal,nc
FLAIR_frontal_nc_ratio,0.014892438426613808,0.0025598483625799417,FLAIR,frontal,nc
T1GD_occipital_nc_ratio,0.009419344365596771,0.001667747856117785,T1GD,occipital,nc
T1GD_occipital_en_ratio,0.011568373069167137,0.001146066002547741,T1GD,occipital,en
T1GD_parietal_nc_ratio,0.0028012727852910757,0.0008680673781782389,T1GD,parietal,nc
FLAIR_global_ed_en_ratio,0.0,0.0,FLAIR,global,ed_en
FLAIR_global_ed_total_ratio,0.0,0.0,FLAIR,global,ed_total
FLAIR_parietal_en_ratio,0.0,0.0,FLAIR,parietal,en
FLAIR_occipital_nc_ratio,0.0,0.0,FLAIR,occipital,nc
