threshold,treat_none,treat_all_mean,treat_all_ci_lower,treat_all_ci_upper,Spatial Only_mean,Spatial Only_ci_lower,Spatial Only_ci_upper,Clinical Only_mean,Clinical Only_ci_lower,Clinical Only_ci_upper,Combined_mean,Combined_ci_lower,Combined_ci_upper
0.67,0.0,-0.682828,-0.989593,-0.37741,0.010018,0.0,0.030303,0.0,0.0,0.0,0.019965,-0.06183,0.090909
0.68,0.0,-0.735417,-1.051768,-0.420455,0.010018,0.0,0.030303,0.0,0.0,0.0,-0.012054,-0.087121,0.050505
0.69,0.0,-0.791398,-1.117954,-0.466276,0.0,0.0,0.0,0.0,0.0,0.0,-0.001763,-0.057348,0.040404
0.7,0.0,-0.851111,-1.188552,-0.515152,0.0,0.0,0.0,0.0,0.0,0.0,-0.002836,-0.060606,0.040404
0.71,0.0,-0.914943,-1.26402,-0.567398,0.0,0.0,0.0,0.0,0.0,0.0,0.020455,0.0,0.050505
0.72,0.0,-0.983333,-1.344877,-0.623377,0.0,0.0,0.0,0.0,0.0,0.0,0.020455,0.0,0.050505
0.73,0.0,-1.05679,-1.431725,-0.683502,0.0,0.0,0.0,0.0,0.0,0.0,0.020455,0.0,0.050505
0.74,0.0,-1.135897,-1.525253,-0.748252,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.75,0.0,-1.221333,-1.626263,-0.818182,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.76,0.0,-1.313889,-1.73569,-0.893939,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.77,0.0,-1.414493,-1.854633,-0.976285,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.78,0.0,-1.524242,-1.984389,-1.066116,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.79,0.0,-1.644444,-2.126503,-1.164502,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.8,0.0,-1.776667,-2.282828,-1.272727,0.0,0.0,0.0,0.0,0.0,0.0,0.010117,0.0,0.030303
0.81,0.0,-1.922807,-2.455609,-1.392344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.82,0.0,-2.085185,-2.647587,-1.525253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.83,0.0,-2.266667,-2.862151,-1.673797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.84,0.0,-2.470833,-3.103535,-1.840909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
