repeat,fold,n_selected,selected_features,roc_auc,accuracy,precision,recall,f1_score
3,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7636363636363637,0.7272727272727273,0.6888888888888889,0.7045454545454546,0.6966292134831461
3,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.815702479338843,0.7171717171717171,0.6904761904761905,0.6590909090909091,0.6744186046511628
3,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6665961945031713,0.6326530612244898,0.5853658536585366,0.5581395348837209,0.5714285714285714
3,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7482029598308668,0.6632653061224489,0.5961538461538461,0.7209302325581395,0.6526315789473685
4,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7207225913621262,0.696969696969697,0.6444444444444445,0.6744186046511628,0.6590909090909091
4,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7793388429752066,0.6767676767676768,0.6578947368421053,0.5681818181818182,0.6097560975609756
4,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7677685950413223,0.7070707070707071,0.6744186046511628,0.6590909090909091,0.6666666666666666
4,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7029598308668077,0.6632653061224489,0.6136363636363636,0.627906976744186,0.6206896551724138
4,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7376321353065539,0.6632653061224489,0.6086956521739131,0.6511627906976745,0.6292134831460674
5,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.757267441860465,0.6868686868686869,0.62,0.7209302325581395,0.6666666666666666
5,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.8057851239669422,0.7474747474747475,0.7878787878787878,0.5909090909090909,0.6753246753246753
5,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7045454545454545,0.6262626262626263,0.5777777777777777,0.5909090909090909,0.5842696629213483
5,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7399577167019028,0.6530612244897959,0.6,0.627906976744186,0.6136363636363636
5,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7147991543340381,0.673469387755102,0.627906976744186,0.627906976744186,0.627906976744186
6,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6428571428571428,0.6161616161616161,0.5490196078431373,0.6511627906976745,0.5957446808510638
6,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7553719008264463,0.6868686868686869,0.6585365853658537,0.6136363636363636,0.6352941176470588
6,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.8264462809917354,0.7373737373737373,0.725,0.6590909090909091,0.6904761904761905
6,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6708245243128964,0.6428571428571429,0.5909090909090909,0.6046511627906976,0.5977011494252874
6,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7549682875264271,0.6836734693877551,0.6363636363636364,0.6511627906976745,0.6436781609195402
7,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7020348837209303,0.6868686868686869,0.7,0.4883720930232558,0.5753424657534246
7,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7041322314049587,0.6767676767676768,0.65,0.5909090909090909,0.6190476190476191
7,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7580578512396694,0.6666666666666666,0.6,0.75,0.6666666666666666
7,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7116279069767442,0.6530612244897959,0.6097560975609756,0.5813953488372093,0.5952380952380952
7,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7363636363636364,0.6938775510204082,0.6444444444444445,0.6744186046511628,0.6590909090909091
8,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6808554817275747,0.6363636363636364,0.6,0.4883720930232558,0.5384615384615384
8,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7365702479338843,0.6666666666666666,0.6078431372549019,0.7045454545454546,0.6526315789473685
8,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7200413223140497,0.6666666666666666,0.6410256410256411,0.5681818181818182,0.6024096385542169
8,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7782241014799154,0.7040816326530612,0.6458333333333334,0.7209302325581395,0.6813186813186813
8,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7061310782241015,0.6938775510204082,0.6585365853658537,0.627906976744186,0.6428571428571429
9,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7801079734219268,0.6868686868686869,0.625,0.6976744186046512,0.6593406593406593
9,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7789256198347108,0.7171717171717171,0.7222222222222222,0.5909090909090909,0.65
9,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.8026859504132232,0.7272727272727273,0.6976744186046512,0.6818181818181818,0.6896551724137931
9,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6978858350951375,0.6632653061224489,0.631578947368421,0.5581395348837209,0.5925925925925926
9,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6634249471458774,0.6428571428571429,0.5952380952380952,0.5813953488372093,0.5882352941176471
10,1,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7373338870431894,0.696969696969697,0.6666666666666666,0.6046511627906976,0.6341463414634146
10,2,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.6890495867768596,0.6363636363636364,0.5952380952380952,0.5681818181818182,0.5813953488372093
10,3,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7547520661157026,0.6868686868686869,0.6756756756756757,0.5681818181818182,0.6172839506172839
10,4,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7008456659619451,0.6428571428571429,0.5869565217391305,0.627906976744186,0.6067415730337079
10,5,6,"['age', 'sex', 'idh', 'mgmt', 'who_grade', 'eor']",0.7321353065539112,0.673469387755102,0.6341463414634146,0.6046511627906976,0.6190476190476191
